title,abstract,authors,figures,pages,tables,pdf_link,primary_subject,secondary_subjects,submitted_journal,published_journal,keywords,date
Insights on Galaxy Evolution from Interpretable Sparse Feature Networks,"Galaxy appearances reveal the physics of how they formed and evolved. Machine learning models can now exploit galaxies' information-rich morphologies to predict physical properties directly from image cutouts. Learning the relationship between pixel-level features and galaxy properties is essential for building a physical understanding of galaxy evolution, but we are still unable to explicate the details of how deep neural networks represent image features. To address this lack of interpretability, we present a novel neural network architecture called a Sparse Feature Network (SFNet). SFNets produce interpretable features that can be linearly combined in order to estimate galaxy properties like optical emission line ratios or gas-phase metallicity. We find that SFNets do not sacrifice accuracy in order to gain interpretability, and that they perform comparably well to cutting-edge models on astronomical machine learning tasks. Our novel approach is valuable for finding physical patterns in large datasets and helping astronomers interpret machine learning results.",['John F. Wu'],4.0,10.0,2.0,arxiv.org/pdf/2501.00089,Astrophysics of Galaxies,['Machine Learning'],AAS Journals,,"['Galaxies (573)', 'Astronomy image processing (2306)', 'Convolutional neural networks (1938) 1']",2025-01-03
Hunting for the candidates of Changing-Look Blazar using Mclust Clustering Analysis,"The changing-look blazars (CLBs) are the blazars that their optical spectral lines at different epochs show a significant changes and present a clear transition between the standard FSRQ and BL Lac types. The changing-look phenomena in blazars are highly significant for enhancing our understanding of certain physical problems of active galactic nuclei (AGNs), such as the potential mechanism of the state transition in the accretion process of the supermassive black holes in the central engine of AGNs, the possible intrinsic variation of the jet, and the connection between the accretion disk and the jet. Currently, the CLBs reported in the literature are still rare astronomical objects. In our previous work, we found that there are 8 physical properties parameters of CLBs located between those of FSRQs and those of BL Lacs. In order to search more CLB candidates (CLBCs), we employed the $mclust$ Gaussian Mixture Modelling clustering algorithm to perform clustering analysis for the 255 subsets of the 8 physical properties parameters with 2250 blazars from the 4FGL-DR3. We find that there are 29 subsets with 3 groups (corresponding to bl lacs, fsrqs, and CLBCs), in which there are 4 subsets with the adjusted Rand index greater then 0.610 (ARI $>$ 0.610). The combined clustering results from 4 subsets report that there are 111 CLBCs that includes 44 CLBs reported in previous literature and 67 new CLBCs, where 11 CLBCs labeled as BL Lac and 56 CLBCs labeled as FSRQ in 4FGL catalog.","['Shi-Ju Kang', 'Shan-Shan Ren', 'Yong-Gang Zheng', 'Qingwen Wu']",7.0,13.0,3.0,arxiv.org/pdf/2501.00094,High Energy Astrophysical Phenomena,,ApJ,,['Active galactic nuclei (16) – Blazars (164) — BL Lacertae objects (158) — Flat-spectrum radio quasars (2163) 1'],2025-01-03
First unambiguous detection of ammonia in the atmosphere of a planetary mass companion with JWST/MIRI coronagraphs,"The newly accessible mid-infrared (MIR) window offered by the James Webb Space Telescope (JWST) for exoplanet imaging is expected to provide valuable information to characterize their atmospheres. In particular, coronagraphs on board the JWST Mid-InfraRed instrument (MIRI) are capable of imaging the coldest directly imaged giant planets at the wavelengths where they emit most of their flux. The MIRI coronagraphs have been specially designed to detect the NH3 absorption around 10.5 microns, which has been predicted by atmospheric models. We aim to assess the presence of NH3 while refining the atmospheric parameters of one of the coldest companions detected by directly imaging GJ 504 b. Its mass is still a matter of debate and depending on the host star age estimate, the companion could either be placed in the brown dwarf regime or in the young Jovian planet regime. We present an analysis of MIRI coronagraphic observations of the GJ 504 system. We took advantage of previous observations of reference stars to build a library of images and to perform a more efficient subtraction of the stellar diffraction pattern. We detected the presence of NH3 at 12.5 sigma in the atmosphere, in line with atmospheric model expectations for a planetary-mass object and observed in brown dwarfs within a similar temperature range. The best-fit model with Exo-REM provides updated values of its atmospheric parameters, yielding a temperature of Teff = 512 K and radius of R = 1.08 RJup. These observations demonstrate the capability of MIRI coronagraphs to detect NH3 and to provide the first MIR observations of one of the coldest directly imaged companions. Overall, NH3 is a key molecule for characterizing the atmospheres of cold planets, offering valuable insights into their surface gravity. These observations provide valuable information for spectroscopic observations planned with JWST.","['Mathilde Mâlin', 'Anthony Boccaletti', 'Clément Perrot', 'Pierre Baudoz', 'Daniel Rouan', 'Pierre-Olivier Lagage', 'Rens Waters', 'Manuel Güdel', 'Thomas Henning', 'Bart Vandenbussche', 'Olivier Absil', 'David Barrado', 'Benjamin Charnay', 'Elodie Choquet', 'Christophe Cossou', 'Camilla Danielski', 'Leen Decin', 'Adrian M. Glauser', 'John Pye', 'Goran Olofsson', 'Alistair Glasse', 'Polychronis Patapis', 'Pierre Royer', 'Silvia Scheithauer', 'Eugene Serabyn', 'Pascal Tremblin', 'Niall Whiteford', 'Ewine F. van Dishoeck', 'Göran Ostlin', 'Tom P. Ra', 'Gillian Wright']",6.0,18.0,4.0,arxiv.org/pdf/2501.00104,Earth and Planetary Astrophysics,,A&A,,"['Planetary systems', 'Stars: individual: GJ 504', 'Methods: data analysis', 'Planets and satellites: atmospheres', 'Infrared: planetary systems', 'Techniques: image processing 1']",2025-01-03
Exchange of meteorites between the terrestrial planets and the Moon,"The evolution of the orbits of bodies ejected from the Earth, Moon, Mercury and Mars was studied. At ejection velocities about 12-14 km/s, the fraction of bodies ejected from the Earth that fall back onto the Earth was about 0.15-0.25. The total number of bodies ejected from the Earth and delivered to the Earth and Venus probably did not differ much. The probability of collisions of bodies ejected from the Earth with the Moon moving in its present orbit was of the order of 0.01. Probabilities of collisions of bodies ejected from the Earth with Mercury were about 0.02-0.08 at ejection velocities greater than 11.3 km/s. The probabilities of collisions of bodies ejected from the Earth with Mars did not exceed 0.025. For the ejection of bodies from the present orbit of the Moon, probabilities of collisions of ejected bodies with planets were similar to those ejected from the Earth if we consider smaller ejection velocities from the Moon than from the Earth. The probability of a collision of a body ejected from Mars with Mars usually did not exceed 0.04 at an ejection velocity greater than 5.3 km/s. The fraction of bodies ejected from Mars and collided with Mercury was typically less than 0.08. Probabilities of collisions of bodies ejected from Mars with the Earth and Venus were about 0.1-0.2 (each) at an ejection velocity between 5.05 and 10 km/s. Most of bodies ejected from Mercury fall back onto Mercury. Probabilities of collisions of bodies ejected from Mercury with the Earth typically did not exceed 0.02 and 0.1 at an ejection velocity less than 8 km/s and 15 km/s, respectively. The fraction of bodies ejected from Mercury and collided with Venus was greater than that with the Earth typically by an order of magnitude. Probabilities of collisions of bodies with Venus were about 0.1-0.3 at a velocity of ejection from Mercury between 4.3 and 10 km/s.",['S.I. Ipatov'],0.0,6.0,0.0,arxiv.org/pdf/2501.00134,Earth and Planetary Astrophysics,,,Modern astronomy: from the Early Universe to exoplanets and black holes. 2024. P. 904-909,['planets and satellites: terrestrial planets'],2025-01-03
Autoencoder Reconstruction of Cosmological Microlensing Magnification Maps,"Enhanced modeling of microlensing variations in light curves of strongly lensed quasars improves measurements of cosmological time delays, the Hubble Constant, and quasar structure. Traditional methods for modeling extra-galactic microlensing rely on computationally expensive magnification map generation. With large datasets expected from wide-field surveys like the Vera C. Rubin Legacy Survey of Space and Time, including thousands of lensed quasars and hundreds of multiply imaged supernovae, faster approaches become essential. We introduce a deep-learning model that is trained on pre-computed magnification maps covering the parameter space on a grid of k, g, and s. Our autoencoder creates a low-dimensional latent space representation of these maps, enabling efficient map generation. Quantifying the performance of magnification map generation from a low dimensional space is an essential step in the roadmap to develop neural network-based models that can replace traditional feed-forward simulation at much lower computational costs. We develop metrics to study various aspects of the autoencoder generated maps and show that the reconstruction is reliable. Even though we observe a mild loss of resolution in the generated maps, we find this effect to be smaller than the smoothing effect of convolving the original map with a source of a plausible size for its accretion disk in the red end of the optical spectrum and larger wavelengths and particularly one suitable for studying the Broad-Line Region of quasars. Used to generate large samples of on-demand magnification maps, our model can enable fast modeling of microlensing variability in lensed quasars and supernovae.","['Somayeh Khakpash', 'Federica Bianco', 'Georgios Vernardos', 'Gregory Dobler', 'Charles Keeton']",11.0,18.0,1.0,arxiv.org/pdf/2501.00153,Instrumentation and Methods for Astrophysics,,The Astrophysical Journal,,['- Interdisciplinary astronomy(804) 1'],2025-01-03
"The Extreme Space Weather Event of 1872 February: Sunspots, Magnetic Disturbance, and Auroral Displays","We review observations of solar activity, geomagnetic variation, and auroral visibility for the extreme geomagnetic storm on 1872 February 4. The extreme storm (referred to here as the Chapman-Silverman storm) apparently originated from a complex active region of moderate area (\approx 500 {\mu}sh) that was favorably situated near disk center (S19° E05°). There is circumstantial evidence for an eruption from this region at 9--10 UT on 1872 February 3, based on the location, complexity, and evolution of the region, and on reports of prominence activations, which yields a plausible transit time of \approx29 hr to Earth. Magnetograms show that the storm began with a sudden commencement at \approx14:27 UT and allow a minimum Dst estimate of £ -834 nT. Overhead aurorae were credibly reported at Jacobabad (British India) and Shanghai (China), both at 19°.9 in magnetic latitude (MLAT) and 24°. 2 in invariant latitude (ILAT). Auroral visibility was reported from 13 locations with MLAT below |20|° for the 1872 storm (ranging from |10°. 0|--|19°. 9| MLAT) versus one each for the 1859 storm (|17°. 3| MLAT) and the 1921 storm (|16.°2| MLAT). The auroral extension and conservative storm intensity indicate a magnetic storm of comparable strength to the extreme storms of 1859 September (25°.1 \pm 0°.5 ILAT and -949 \pm 31 nT) and 1921 May (27°.1 ILAT and -907 \pm 132 nT), which places the 1872 storm among the three largest magnetic storms yet observed.","['Hisashi Hayakawa', 'Edward W. Cliver', 'Frédéric Clette', 'Yusuke Ebihara', 'Shin Toriumi', 'Ilaria Ermolli', 'Theodosios Chatzistergos', 'Kentaro Hattori', 'Delores J. Knipp', 'Séan P. Blake', 'Gianna Cauzzi', 'Kevin Reardon', 'Philippe-A. Bourdin', 'Dorothea Just', 'Mikhail Vokhmyanin', 'Keitaro Matsumoto', 'Yoshizumi Miyoshi', 'José R. Ribeiro', 'Ana P. Correia', 'David M. Willis', 'Matthew N. Wild', 'Sam M. Silverman']",13.0,20.0,2.0,arxiv.org/pdf/2501.00176,Solar and Stellar Astrophysics,"['Earth and Planetary Astrophysics', 'Geophysics', 'Plasma Physics', 'Space Physics']",,ApJ 959:23 (20pp) 2023,['Solar active regions (1974 )'],2025-01-03
Electromotive field in space and astrophysical plasmas,"The concept of electromotive field appears in various applications in space and astrophysical plasmas. A review is given on the electromotive field highlighting our current understanding of the theoretical picture and the spacecraft observations in interplanetary space. The electromotive field is a key concept to successfully close the set of turbulent magnetohydrodynamic equations and also to construct a more complete picture of space plasma turbulence. Applications to astrophysical cases (Earth magnetosphere, heliospheric shocks, interstellar medium, and relativistic jets) are also briefly introduced, as well.","['Philippe-A. Bourdin', 'Yasuhito Narita']",8.0,23.0,0.0,arxiv.org/pdf/2501.00181,Solar and Stellar Astrophysics,"['Earth and Planetary Astrophysics', 'High Energy Astrophysical Phenomena', 'Instrumentation and Methods for Astrophysics', 'Plasma Physics', 'Space Physics']",,"Rev. Mod. Plasma Phys. 9, 1 (2025)",Electromotive field · Dynamo mechanism · Turbulence · Astrophysical plasmas ,2025-01-03
Can tensor-scalar induced GWs dominate PTA observations ?,"Observational constraints on small-scale primordial gravitational waves are considerably weaker than those on large scales. We focus on scenarios with significant primordial gravitational waves and curvature perturbations on small scales, studying the energy density spectrum of the second-order TSIGW. By leveraging current data from CMB, BAO, and PTA, combined with the SNR analysis of LISA, we can investigate how tensor-scalar induced gravitational waves affect observations on various scales, thus constraining the parameter space for primordial gravitational waves and curvature perturbations. The Bayes factor analysis suggests that TSIGW+PGW might be more likely to dominate current PTA observations compared to SMBHB.","['Di Wu', 'Jing-Zhi Zhou', 'Yu-Ting Kuang', 'Zhi-Chao Li', 'Zhe Chang', 'Qing-Guo Huang']",7.0,19.0,1.0,arxiv.org/pdf/2501.00228,Cosmology and Nongalactic Astrophysics,"['High Energy Astrophysical Phenomena', 'General Relativity and Quantum Cosmology', 'High Energy Physics - Theory']",,,[],2025-01-03
Improving image quality of the Solar Disk Imager (SDI) of the Lyman-alpha Solar Telescope (LST) onboard the ASO-S mission,"The in-flight calibration and performance of the Solar Disk Imager (SDI), which is a pivotal instrument of the Lyman-alpha Solar Telescope (LST) onboard the Advanced Space-based Solar Observatory (ASO-S) mission, suggested a much lower spatial resolution than expected. In this paper, we developed the SDI point-spread function (PSF) and Image Bivariate Optimization Algorithm (SPIBOA) to improve the quality of SDI images. The bivariate optimization method smartly combines deep learning with optical system modeling. Despite the lack of information about the real image taken by SDI and the optical system function, this algorithm effectively estimates the PSF of the SDI imaging system directly from a large sample of observational data. We use the estimated PSF to conduct deconvolution correction to observed SDI images, and the resulting images show that the spatial resolution after correction has increased by a factor of more than three with respect to the observed ones. Meanwhile, our method also significantly reduces the inherent noise in the observed SDI images. The SPIBOA has now been successfully integrated into the routine SDI data processing, providing important support for the scientific studies based on the data. The development and application of SPIBOA also pave new ways to identify astronomical telescope systems and enhance observational image quality. Some essential factors and precautions in applying the SPIBOA method are also discussed.","['Hui Liu', 'Hui Li', 'Sizhong Zou', 'Kaifan Ji', 'Zhenyu Jin', 'Jiahui Shan', 'Jingwei Li', 'Guanglu Shi', 'Yu Huang', 'Li Feng', 'Jianchao Xue', 'Qiao Li', 'Dechao Song', 'Ying Li']",10.0,14.0,1.0,arxiv.org/pdf/2501.00231,Solar and Stellar Astrophysics,['Instrumentation and Methods for Astrophysics'],,,['techniques: image processing — sun: chromosphere — sun: flares — methods: numerical'],2025-01-03
On the Duration of Gamma-Ray Bursts,"Recently, a short-duration GRB with supernova association (GRB 200826A) and two long-duration GRBs with kilonova associations (GRB 211211A and GRB 230307A) have been detected, which demolished the hope for a tidy connection between GRB duration and their progenitor systems. Here I summarize various physical factors that can shape the duration of a GRB and propose that the duration of a GRB can be defined by four factors: progentor, central engine, emitter, and geometry. The progenitor-defined duration is only relevant when the central engine is powered by accretion and when the modifications by other factors are not important. The untidy situation of duration - progenitor mismatches suggests that other factors likely play important roles in defining GRB duration at least in some GRBs. In particular, a GRB may not be powered by accretion but rather by a millisecond magnetar at least for some GRBs. The complicated lightcurve of GRB 211211A suggests both progenitor- and engine-defined durations, which may require a new type of progenitor system involving a white dwarf - neutron star merger with a magnetar merger product. The single broad pulse lightcurve with well-behaved energy-dependent behavior of GRB 230307A suggests an emitter-defined long duration. The central engine timescale may be short enough to be accommodated within the framework of a standard binary neutron star merger. Its spiky lightcurve with fast variability as well as extended X-ray emission suggest the existence of mini-jets in the global dissipation region, powered by an underlying magnetar.",['Bing Zhang'],1.0,10.0,0.0,arxiv.org/pdf/2501.00239,High Energy Astrophysical Phenomena,,,,"['Gamma-ray bursts', 'Relativistic fluid dynamics 1']",2025-01-03
