s2_id,S2_Title,S2_Citations,S2_NonSelfCitations
ARXIV:2501.00089,Insights into Galaxy Evolution from Interpretable Sparse Feature Networks,1,1
ARXIV:2501.12788,X-ray reverberation black hole mass and distance estimates of Cygnus X-1,0,0
ARXIV:2501.12781,The TES-Based Cryogenic AntiCoincidence Detector of ATHENA X-IFU: Validation of the Thermal End-to-End Simulator Toward the Updated Demonstration Model (DM 1.1),2,2
ARXIV:2501.12767,Massive star clusters in the gamma-ray sky: the role of HII regions,0,0
ARXIV:2501.12760,The Impact of Bar-induced Noncircular Motions on the Measurement of Galactic Rotation Curves,2,2
ARXIV:2501.12758,A Study of Subsurface Convection Zones of Fast Rotating Massive Stars,0,0
ARXIV:2501.12757,Large discrepancies in error estimates for reverberation times derived from light curves of active galactic nuclei,0,0
ARXIV:2501.12743,Fast Bayesian spectral analysis using convolutional neural networks: Applications to GONG Hα solar data,1,1
ARXIV:2501.12734,Magnetic fields limit the mass of Population III stars even before the onset of protostellar radiation feedback,1,1
ARXIV:2501.12719,IXPE observations of supernova remnants,0,0
ARXIV:2501.12716,SF2A Environmental Transition Commission: What kind of astrophysics research for a sustainable world?,0,0
ARXIV:2501.12712,A synthetic population of ultra-luminous X-ray sources. Optical--X-ray correlation,0,0
ARXIV:2501.12694,Radio and Optical Properties of the Blazar PKS 1614\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$+$$\end{document}05,1,1
ARXIV:2501.12684,A detailed study on spectroscopic performance of SOI pixel detector with a pinned depleted diode structure for X-ray astronomy,1,1
ARXIV:2501.12665,A Pilot Study for the CSST Slitless Spectroscopic Quasar Survey Based on Mock Data,0,0
ARXIV:2501.12661,On the equivalence between galaxy angular correlation function and power spectrum in constraining primordial non-Gaussianity,1,1
ARXIV:2501.12658,Formation of massive star clusters with and without iron abundance spreads in a dwarf galaxy merger,0,0
ARXIV:2501.12650,Resonance Capture and Stability Analysis for Planet Pairs under Type I Disk Migration,3,3
ARXIV:2501.12809,ExoSim 2: the new exoplanet observation simulator applied to the Ariel space mission,3,3
ARXIV:2501.12636,Semianalytic model for decaying dark matter halos,1,1
ARXIV:2501.12822,The late-time heating Green’s function and improvements to distortion frequency hierarchy treatment,0,0
ARXIV:2501.12905,"Impact of hyperons on neutron star mergers: Gravitational waves, mass ejection, and black hole formation",5,5
ARXIV:2501.13090,Innovative web tool for remote data acquisition and analysis: Customized for SKA low frequency beamforming test bed LPDA array at Gauribidanur Radio Observatory,0,0
ARXIV:2501.13082,BlackTHUNDER -- A non-stellar Balmer break in a black hole-dominated little red dot at $z=7.04$,7,7
ARXIV:2501.13062,The outer structure of old star clusters in the Small Magellanic Cloud,1,1
ARXIV:2501.13056,On the Use of WGANs for Super Resolution in Dark-Matter Simulations,0,0
ARXIV:2501.13049,High-Frequency Power Spectrum of AGN NGC 4051 Revealed by NICER,0,0
ARXIV:2501.13048,HH 270/110 as a Jet/Shear Layer Interaction,0,0
ARXIV:2501.13015,Constraining the shape of dark matter haloes using only starlight. I. A new technique and its application to the galaxy Nube,1,1
ARXIV:2501.12999,Characterization of a fiber laser hydrophone for acoustic neutrino detection,0,0
ARXIV:2501.12990,eROSITA X-ray analysis of the PeVatron candidate Westerlund 1,2,2
ARXIV:2501.12986,Can supermassive stars form in protogalaxies due to internal Lyman–Werner feedback?,2,2
ARXIV:2501.12977,DASCH: Bringing 100+ Years of Photographic Data into the 21st Century and Beyond,1,1
ARXIV:2501.12970,The AGILE space mission: an Italian success story and its legacy for future space astronomy,0,0
ARXIV:2501.12928,BayesEoR: Bayesian 21-cm Power Spectrum Estimation from Interferometric Visibilities,0,0
ARXIV:2501.12925,A Denser Hydrogen Inferred from First-Principles Simulations Challenges Jupiter's Interior Models,1,1
